CREATION_DATE,Days Active
2020-10-07,115.68057366362451
2020-10-14,126.76470588235294
2020-10-21,204.788838612368
2020-10-28,233.8564417177914
2020-11-04,23.452258965999068
2020-11-11,9.523404811715482
2020-11-18,43.041103017689906
2020-11-25,72.62321024868123
2020-12-02,62.48674371176071
2020-12-09,163.01290322580644
2020-12-16,103.29666506717851
2020-12-23,
2020-12-30,
2021-01-06,42.68360450563204
2021-01-13,24.318128261235483
2021-01-20,18.232565070534474
2021-01-27,129.72370704616452
2021-02-03,161.7337837837838
2021-02-10,166.27404921700224
2021-02-17,192.82169976635515
2021-02-24,144.80314850933408
2021-03-03,161.48950233281494
2021-03-10,91.69878851857437
2021-03-17,42.99168096803281
2021-03-24,176.5784097589653
2021-03-31,148.29383225668104
2021-04-07,162.12116867393104
2021-04-14,141.0772575371016
2021-04-21,125.13259402121504
2021-04-28,99.06902074345489
2021-05-05,135.45789403620873
2021-05-12,148.46303301454049
2021-05-19,86.11454809086516
2021-05-26,58.40542316604987
2021-06-02,
2021-06-09,
2021-06-16,86.06668408090157
2021-06-23,65.24093897605088
2021-06-30,89.81968231431361
2021-07-07,107.3882155822396
2021-07-14,100.59472439251667
2021-07-21,107.86432725350251
2021-07-28,80.68463358506466
2021-08-04,75.796496861772
2021-08-11,77.39935702235567
2021-08-18,80.31473186075576
2021-08-25,
2021-09-01,83.00078953002891
2021-09-08,65.00178643262814
2021-09-15,73.95883344971607
2021-09-22,62.60984232395706
2021-09-29,69.6026075726392
2021-10-06,59.613681364449484
2021-10-13,53.45291891048154
2021-10-20,57.61882722141081
2021-10-27,56.46877758643146
2021-11-03,60.7893261672365
2021-11-10,59.363796433034196
2021-11-17,59.32251236291309
2021-11-24,63.14062146142613
2021-12-01,47.4871715214186
2021-12-08,57.195067451516614
2021-12-15,57.73239297749062
2021-12-22,52.930332135332755
2021-12-29,50.568424048639876
2022-01-05,46.0333213729134
2022-01-12,23.872500790163233
2022-01-19,12.881122374859597
2022-01-26,13.237576826399456
2022-02-02,27.500714372895473
2022-02-09,16.639817032126977
2022-02-16,24.009371263932515
2022-02-23,25.57676956708953
2022-03-02,31.823114429860283
2022-03-09,26.864317326983613
2022-03-16,29.71361159485422
2022-03-23,24.321464376420266
2022-03-30,29.045902630984195
2022-04-06,27.867393247961164
2022-04-13,24.935320468331724
2022-04-20,27.45943349046556
2022-04-27,50.868545750278
2022-05-04,46.71162100199196
2022-05-11,41.089232862030585
2022-05-18,42.495058628254455
2022-05-25,42.20905010628126
2022-06-01,35.46640996744303
2022-06-08,32.09831381810375
2022-06-15,26.285462727450597
2022-06-22,25.67580692479105
2022-06-29,22.419885101863475
2022-07-06,20.111215760755346
2022-07-13,19.509732285398503
2022-07-20,18.896599989820327
2022-07-27,21.52396752619967
2022-08-03,18.85036704847325
2022-08-10,11.452798187039901
2022-08-17,13.26343308865048
2022-08-24,11.107998334737974
2022-08-31,8.893011179537798
2022-09-07,8.578941238655808
2022-09-14,6.246437487667402
2022-09-21,4.128243037805509
2022-09-28,3.416625400283913
2022-10-05,1.456870896786062
2022-10-12,0.27808305204490147
2022-10-19,0.10415806517402788
2022-10-26,0.04190606715513152
