WEEK,UNIQUE_USERS
2022-05-02 00:00:00.000,1022941
2021-06-21 00:00:00.000,111253
2022-01-24 00:00:00.000,1225468
2022-10-24 00:00:00.000,369557
2021-11-22 00:00:00.000,649202
2022-01-03 00:00:00.000,632997
2021-09-27 00:00:00.000,457587
2022-04-04 00:00:00.000,783290
2021-06-28 00:00:00.000,93319
2020-11-09 00:00:00.000,12769
2021-10-25 00:00:00.000,547466
2021-02-08 00:00:00.000,4523
2020-12-21 00:00:00.000,9826
2021-02-01 00:00:00.000,4958
2021-07-26 00:00:00.000,69541
2022-03-14 00:00:00.000,718166
2021-07-05 00:00:00.000,90438
2021-04-19 00:00:00.000,98751
2022-02-07 00:00:00.000,761444
2022-06-13 00:00:00.000,899757
2022-10-17 00:00:00.000,720612
2021-08-09 00:00:00.000,165326
2021-05-31 00:00:00.000,144271
2021-05-17 00:00:00.000,220614
2021-09-13 00:00:00.000,366488
2021-12-27 00:00:00.000,558492
2021-10-18 00:00:00.000,614094
2022-02-28 00:00:00.000,680389
2022-06-20 00:00:00.000,996900
2022-08-15 00:00:00.000,618270
2021-05-24 00:00:00.000,239492
2022-08-08 00:00:00.000,730341
2022-02-14 00:00:00.000,755623
2022-05-30 00:00:00.000,1146330
2020-03-16 00:00:00.000,104
2022-07-18 00:00:00.000,818737
2020-11-30 00:00:00.000,2235
2022-03-07 00:00:00.000,649096
2021-05-10 00:00:00.000,210645
2021-08-23 00:00:00.000,184962
2022-05-23 00:00:00.000,1251661
2021-01-25 00:00:00.000,4364
2021-12-06 00:00:00.000,614191
2021-03-15 00:00:00.000,51774
2021-04-05 00:00:00.000,77564
2021-03-01 00:00:00.000,9578
2020-10-26 00:00:00.000,1176
2022-09-12 00:00:00.000,669558
2021-03-29 00:00:00.000,86804
2021-01-11 00:00:00.000,6485
2022-05-16 00:00:00.000,1124911
2022-04-25 00:00:00.000,964039
2021-03-08 00:00:00.000,14682
2022-01-17 00:00:00.000,953719
2021-04-12 00:00:00.000,65752
2022-06-27 00:00:00.000,905214
2020-12-07 00:00:00.000,854
2022-06-06 00:00:00.000,1131085
2021-02-15 00:00:00.000,7495
2022-10-03 00:00:00.000,740136
2022-09-05 00:00:00.000,709215
2021-06-07 00:00:00.000,94864
2022-08-29 00:00:00.000,655093
2022-01-31 00:00:00.000,802368
2020-10-19 00:00:00.000,812
2021-07-19 00:00:00.000,56276
2022-02-21 00:00:00.000,700643
2022-07-11 00:00:00.000,772491
2021-09-06 00:00:00.000,487115
2022-01-10 00:00:00.000,770008
2021-01-04 00:00:00.000,3577
2021-08-02 00:00:00.000,109208
2021-04-26 00:00:00.000,275603
2022-08-22 00:00:00.000,647552
2020-11-02 00:00:00.000,10920
2021-12-13 00:00:00.000,592392
2021-12-20 00:00:00.000,599878
2020-10-05 00:00:00.000,1028
2022-07-04 00:00:00.000,795691
2022-04-18 00:00:00.000,1065341
2021-09-20 00:00:00.000,362235
2022-04-11 00:00:00.000,952588
2022-08-01 00:00:00.000,799398
2021-01-18 00:00:00.000,11362
2020-11-16 00:00:00.000,4729
2022-07-25 00:00:00.000,705917
2021-03-22 00:00:00.000,20924
2022-10-10 00:00:00.000,745939
2021-05-03 00:00:00.000,153533
2022-05-09 00:00:00.000,1000914
2021-11-08 00:00:00.000,649870
2021-08-30 00:00:00.000,374892
2021-11-15 00:00:00.000,612678
2020-12-14 00:00:00.000,3136
2022-03-28 00:00:00.000,833210
2021-08-16 00:00:00.000,219204
2021-11-01 00:00:00.000,628566
2021-02-22 00:00:00.000,20335
2021-06-14 00:00:00.000,92902
2022-09-26 00:00:00.000,707368
2021-10-04 00:00:00.000,585603
2020-11-23 00:00:00.000,2780
2021-07-12 00:00:00.000,56920
2020-12-28 00:00:00.000,3631
2021-11-29 00:00:00.000,669062
2021-10-11 00:00:00.000,547469
2022-09-19 00:00:00.000,699101
2022-03-21 00:00:00.000,767143
2020-10-12 00:00:00.000,1618
