LAST_USE,ADDRESS
2020-10-07,518
2020-10-14,107
2020-10-21,268
2020-10-28,279
2020-11-04,10051
2020-11-11,14853
2020-11-18,1591
2020-11-25,778
2020-12-02,1223
2020-12-09,306
2020-12-16,4970
2020-12-23,631
2020-12-30,270
2021-01-06,3424
2021-01-13,5483
2021-01-20,9456
2021-01-27,1698
2021-02-03,1054
2021-02-10,1138
2021-02-17,2377
2021-02-24,6196
2021-03-03,2419
2021-03-10,10693
2021-03-17,29556
2021-03-24,5072
2021-03-31,28736
2021-04-07,14593
2021-04-14,12004
2021-04-21,22655
2021-04-28,94373
2021-05-05,35815
2021-05-12,28218
2021-05-19,85762
2021-05-26,74244
2021-06-02,6843
2021-06-09,4581
2021-06-16,20202
2021-06-23,34065
2021-06-30,18451
2021-07-07,11242
2021-07-14,9806
2021-07-21,9534
2021-07-28,20944
2021-08-04,24766
2021-08-11,63737
2021-08-18,50995
2021-08-25,19098
2021-09-01,101270
2021-09-08,149003
2021-09-15,97305
2021-09-22,111105
2021-09-29,138655
2021-10-06,198147
2021-10-13,201982
2021-10-20,181927
2021-10-27,157690
2021-11-03,188076
2021-11-10,116609
2021-11-17,75572
2021-11-24,164869
2021-12-01,183530
2021-12-08,141731
2021-12-15,144145
2021-12-22,139472
2021-12-29,148278
2022-01-05,175650
2022-01-12,367365
2022-01-19,546120
2022-01-26,607861
2022-02-02,277744
2022-02-09,389825
2022-02-16,255903
2022-02-23,228677
2022-03-02,180454
2022-03-09,225467
2022-03-16,204048
2022-03-23,300553
2022-03-30,283325
2022-04-06,271433
2022-04-13,379363
2022-04-20,364547
2022-04-27,157507
2022-05-04,177294
2022-05-11,174483
2022-05-18,233195
2022-05-25,245114
2022-06-01,215202
2022-06-08,245818
2022-06-15,180051
2022-06-22,207819
2022-06-29,197235
2022-07-06,170310
2022-07-13,192358
2022-07-20,180886
2022-07-27,155442
2022-08-03,234995
2022-08-10,207134
2022-08-17,148486
2022-08-24,152290
2022-08-31,154679
2022-09-07,183388
2022-09-14,187827
2022-09-21,234160
2022-09-28,237386
2022-10-05,421994
2022-10-12,631405
2022-10-19,200271
2022-10-26,39780
